filted_data_dict 3893 3893
day, prev_pody, prev_HL, prev_body_pct, cur_position_above, cur_position_below, today_profit
2008-04-02 , 2.2150000000000034 , 3.100999999999999 , 71 , 36 , 23 , 758.0000000000098
2008-04-03 , 0.7580000000000098 , 1.8629999999999995 , 40 , 43 , 104 , -1905.0000000000011
2008-04-04 , -1.9050000000000011 , 2.7510000000000048 , -69 , -1 , 1 , -28.999999999996362
2008-04-07 , 1.0579999999999927 , 2.031000000000006 , 52 , 23 , 117 , -1409.9999999999966
2008-04-08 , -1.4099999999999966 , 2.858000000000004 , -49 , 14 , 52 , -1030.0000000000011
2008-04-09 , -1.0300000000000011 , 1.907999999999987 , -53 , 6 , 157 , -239.00000000000432
2008-04-10 , -0.23900000000000432 , 3.1330000000000098 , -7 , 29 , 74 , -1958.9999999999748
2008-04-14 , 0.6689999999999827 , 2.3910000000000196 , 27 , 11 , 60 , -152.9999999999916
2008-04-15 , -0.1529999999999916 , 1.7290000000000134 , -8 , 59 , 40 , 955.9999999999889
2008-04-16 , 0.9559999999999889 , 1.7220000000000084 , 55 , 208 , 14 , 3254.9999999999955
2008-04-17 , 3.2549999999999955 , 3.8409999999999798 , 84 , 123 , 12 , 3021.000000000015
2008-04-18 , 3.021000000000015 , 5.240000000000009 , 57 , -1 , 1 , -54.000000000002046
2008-04-21 , -2.8789999999999907 , 4.064999999999998 , -70 , 36 , 24 , 1033.9999999999918
2008-04-22 , 1.0339999999999918 , 2.455999999999989 , 42 , 18 , 56 , -821.9999999999743
2008-04-23 , -0.8219999999999743 , 1.8340000000000032 , -44 , 78 , 23 , 1074.0000000000123
2008-04-24 , 1.0740000000000123 , 1.8629999999999995 , 57 , 93 , 20 , 1474.9999999999943
2008-04-25 , 1.4749999999999943 , 2.1189999999999998 , 69 , 0 , 0 , 14.000000000010004
2008-04-28 , 0.17799999999999727 , 1.7210000000000036 , 10 , 5 , 220 , -2568.999999999988
2008-04-29 , -2.5689999999999884 , 3.897999999999996 , -65 , 68 , 28 , 1514.9999999999864
2008-04-30 , 1.5149999999999864 , 3.782999999999987 , 40 , 18 , 40 , -203.9999999999793
2008-05-01 , -0.2039999999999793 , 2.2179999999999893 , -9 , 118 , 0 , 1506.0000000000002
2008-05-02 , 1.5060000000000002 , 2.6380000000000052 , 57 , 0 , 0 , 0.0
2008-05-05 , -0.7889999999999873 , 1.75 , -45 , 22 , 62 , 15.00000000001478
2008-05-06 , 0.01500000000001478 , 1.4909999999999854 , 1 , 8 , 160 , -2152.0000000000155
2008-05-07 , -2.1520000000000152 , 2.52200000000002 , -85 , 1 , 85 , -1975.0000000000227
2008-05-08 , -1.9750000000000227 , 2.195999999999998 , -89 , 26 , 130 , -1770.0000000000102
2008-05-12 , 2.069999999999993 , 3.444000000000017 , 60 , 29 , 42 , 692.0000000000073
2008-05-13 , 0.6920000000000073 , 2.507000000000005 , 27 , 45 , 13 , 634.0000000000146
2008-05-14 , 0.6340000000000146 , 1.461999999999989 , 43 , 30 , 84 , -397.99999999999613
2008-05-15 , -0.39799999999999613 , 1.6690000000000111 , -23 , 22 , 74 , -251.00000000000477
2008-05-18 , -0.09899999999998954 , 0.09899999999998954 , -100 , 492 , 591 , -260.9999999999957
2008-05-19 , -0.2609999999999957 , 1.0740000000000123 , -24 , 131 , 49 , 741.0000000000139
2008-05-20 , 0.7410000000000139 , 1.9390000000000214 , 38 , -3 , 69 , -711.9999999999891
2008-05-21 , -0.7119999999999891 , 1.2729999999999961 , -55 , 247 , 47 , 2711.999999999989
2008-05-22 , 2.711999999999989 , 3.7520000000000095 , 72 , 4 , 50 , -1375.0
2008-05-23 , -1.375 , 2.0509999999999877 , -67 , 0 , 0 , 0.0
